"debamlen";"andreakannapell"
"paulkrugman";"brooksbarnes"
"debamlen";"maggiehaberman"
"debamlen";"mikeisaac"
"michaelde la merced";"andreakannapell"
"debamlen";"andrewchow"
"brooksbarnes";"patrickhealy"
"debamlen";"michaelcooper"
"debamlen";"maggiehaberman"
"michaelde la merced";"patrickhealy"
"debamlen";"andrewrevkin"
"paulkrugman";"brooksbarnes"
"michaelcooper";"mikeisaac"
"andrewrevkin";"mikeisaac"
"debamlen";"maggiehaberman"
"michaelde la merced";"andrewrevkin"
"debamlen";"brooksbarnes"
"mikeisaac";"mikeisaac"
"patrickhealy";"debamlen"
"alanrappeport";"maggiehaberman"
"debamlen";"andrewchow"
"paulkrugman";"andrewchow"
"debamlen";"michaelcooper"
"debamlen";"michaelde la merced"
"mikeisaac";"michaelcooper"
"andrewrevkin";"paulkrugman"
"alanrappeport";"brooksbarnes"
"andrewrevkin";"michaelde la merced"
"debamlen";"malinagilchrist"
"debamlen";"alanrappeport"
"debamlen";"maggiehaberman"
"patrickhealy";"patrickhealy"
"mikeisaac";"michaelcooper"
"debamlen";"andreakannapell"
"andrewrevkin";"alanrappeport"
"michaelde la merced";"maggiehaberman"
"paulkrugman";"debamlen"
"debamlen";"malinagilchrist"
"paulkrugman";"michaelde la merced"
"debamlen";"andreakannapell"
"debamlen";"andrewrevkin"
"jeremyegner";"michaelcooper"
"paulkrugman";"andrewchow"
"debamlen";"andrewchow"
"debamlen";"andrewchow"
"paulkrugman";"debamlen"
"michaelde la merced";"mikeisaac"
"debamlen";"mikeisaac"
"paulkrugman";"andrewrevkin"
"paulkrugman";"andrewchow"
"michaelde la merced";"debamlen"
"alanrappeport";"jeremyegner"
"debamlen";"patrickhealy"
"debamlen";"debamlen"
"brooksbarnes";"andreakannapell"
"brooksbarnes";"alanrappeport"
"michaelde la merced";"brooksbarnes"
"michaelde la merced";"malinagilchrist"
"debamlen";"mikeisaac"
"brooksbarnes";"maggiehaberman"
"debamlen";"debamlen"
"jeremyegner";"andreakannapell"
"paulkrugman";"mikeisaac"
"malinagilchrist";"patrickhealy"
"alanrappeport";"andreakannapell"
"andrewrevkin";"michaelde la merced"
"patrickhealy";"malinagilchrist"
"michaelcooper";"maggiehaberman"
"debamlen";"malinagilchrist"
"alanrappeport";"patrickhealy"
"michaelcooper";"patrickhealy"
"michaelde la merced";"maggiehaberman"
"debamlen";"michaelde la merced"
"michaelde la merced";"debamlen"
"debamlen";"mikeisaac"
"michaelde la merced";"maggiehaberman"
"debamlen";"andrewchow"
"debamlen";"debamlen"
"paulkrugman";"debamlen"
"malinagilchrist";"paulkrugman"
"mikeisaac";"mikeisaac"
"debamlen";"debamlen"
"debamlen";"jeremyegner"
"michaelde la merced";"maggiehaberman"
"debamlen";"andreakannapell"
"mikeisaac";"alanrappeport"
"jeremyegner";"andrewrevkin"
"michaelcooper";"maggiehaberman"
"alanrappeport";"andrewchow"
"michaelde la merced";"michaelde la merced"
"paulkrugman";"jeremyegner"
"patrickhealy";"jeremyegner"
"debamlen";"mikeisaac"
"alanrappeport";"malinagilchrist"
"debamlen";"paulkrugman"
"michaelde la merced";"malinagilchrist"
"debamlen";"michaelcooper"
"paulkrugman";"michaelde la merced"
"michaelde la merced";"michaelde la merced"
"debamlen";"michaelcooper"
"alanrappeport";"mikeisaac"
"paulkrugman";"mikeisaac"
"debamlen";"brooksbarnes"
"paulkrugman";"mikeisaac"
"paulkrugman";"andreakannapell"
"paulkrugman";"andrewchow"
"jeremyegner";"debamlen"
"debamlen";"michaelcooper"
"brooksbarnes";"jeremyegner"
"debamlen";"mikeisaac"
"patrickhealy";"andrewchow"
"alanrappeport";"alanrappeport"
"debamlen";"alanrappeport"
"debamlen";"michaelcooper"
"alanrappeport";"andrewrevkin"
"debamlen";"debamlen"
"mikeisaac";"michaelde la merced"
"andrewrevkin";"andreakannapell"
"debamlen";"alanrappeport"
"jeremyegner";"brooksbarnes"
"debamlen";"patrickhealy"
"debamlen";"andrewrevkin"
"brooksbarnes";"andrewrevkin"
"paulkrugman";"malinagilchrist"
"debamlen";"michaelde la merced"
"mikeisaac";"andreakannapell"
"michaelde la merced";"michaelcooper"
"malinagilchrist";"mikeisaac"
"alanrappeport";"andreakannapell"
"debamlen";"alanrappeport"
"maggiehaberman";"malinagilchrist"
"paulkrugman";"alanrappeport"
"andrewrevkin";"andrewrevkin"
"mikeisaac";"andrewchow"
"debamlen";"maggiehaberman"
"maggiehaberman";"andrewchow"
"debamlen";"patrickhealy"
"michaelcooper";"andrewchow"
"paulkrugman";"jeremyegner"
"maggiehaberman";"michaelde la merced"
"debamlen";"malinagilchrist"
"maggiehaberman";"andreakannapell"
"paulkrugman";"debamlen"
"jeremyegner";"andrewrevkin"
"debamlen";"jeremyegner"
"paulkrugman";"paulkrugman"
"debamlen";"michaelcooper"
"patrickhealy";"alanrappeport"
"malinagilchrist";"malinagilchrist"
"brooksbarnes";"michaelde la merced"
"patrickhealy";"michaelcooper"
"malinagilchrist";"andrewrevkin"
"debamlen";"andreakannapell"
"maggiehaberman";"maggiehaberman"
"alanrappeport";"andreakannapell"
"maggiehaberman";"michaelcooper"
"andrewrevkin";"andreakannapell"
"debamlen";"andrewchow"
"debamlen";"andrewchow"
"maggiehaberman";"maggiehaberman"
"paulkrugman";"paulkrugman"
"malinagilchrist";"andreakannapell"
"mikeisaac";"patrickhealy"
"debamlen";"andreakannapell"
"paulkrugman";"malinagilchrist"
"mikeisaac";"debamlen"
"michaelcooper";"michaelde la merced"
"debamlen";"debamlen"
"malinagilchrist";"malinagilchrist"
"paulkrugman";"mikeisaac"
"jeremyegner";"michaelde la merced"
"paulkrugman";"andrewchow"
"debamlen";"andrewchow"
"malinagilchrist";"maggiehaberman"
"brooksbarnes";"mikeisaac"
"debamlen";"jeremyegner"
"patrickhealy";"andrewrevkin"
"debamlen";"andrewchow"
"alanrappeport";"malinagilchrist"
"andrewchow";"andrewchow"
"debamlen";"alanrappeport"
"maggiehaberman";"debamlen"
"patrickhealy";"maggiehaberman"
"alanrappeport";"alanrappeport"
"debamlen";"mikeisaac"
"maggiehaberman";"michaelcooper"
"maggiehaberman";"patrickhealy"
"malinagilchrist";"jeremyegner"
"debamlen";"andrewchow"
"michaelcooper";"malinagilchrist"
"michaelcooper";"andrewrevkin"
"malinagilchrist";"andreakannapell"
"alanrappeport";"andreakannapell"
"maggiehaberman";"michaelde la merced"
"debamlen";"michaelcooper"
"jeremyegner";"andreakannapell"
"debamlen";"michaelcooper"
"malinagilchrist";"alanrappeport"
"malinagilchrist";"mikeisaac"
"malinagilchrist";"debamlen"
"alanrappeport";"michaelde la merced"
"maggiehaberman";"andrewchow"
"maggiehaberman";"mikeisaac"
"debamlen";"paulkrugman"
"alanrappeport";"malinagilchrist"
"malinagilchrist";"jeremyegner"
"paulkrugman";"debamlen"
"malinagilchrist";"malinagilchrist"
"debamlen";"debamlen"
"andrewchow";"paulkrugman"
"debamlen";"michaelcooper"
"maggiehaberman";"paulkrugman"
"paulkrugman";"maggiehaberman"
"debamlen";"andrewchow"
"michaelcooper";"andrewrevkin"
"debamlen";"mikeisaac"
"andrewrevkin";"andrewrevkin"
"maggiehaberman";"mikeisaac"
"mikeisaac";"andrewrevkin"
"debamlen";"alanrappeport"
"maggiehaberman";"paulkrugman"
"jeremyegner";"debamlen"
"mikeisaac";"andrewrevkin"
"debamlen";"andrewrevkin"
"debamlen";"michaelde la merced"
"mikeisaac";"malinagilchrist"
"alanrappeport";"patrickhealy"
"debamlen";"michaelcooper"
"andrewchow";"mikeisaac"
"debamlen";"andreakannapell"
"debamlen";"maggiehaberman"
"maggiehaberman";"brooksbarnes"
"debamlen";"andreakannapell"
"michaelcooper";"maggiehaberman"
"mikeisaac";"jeremyegner"
"paulkrugman";"andrewrevkin"
"alanrappeport";"debamlen"
"debamlen";"michaelcooper"
"paulkrugman";"andreakannapell"
"andrewrevkin";"maggiehaberman"
"jeremyegner";"jeremyegner"
"andrewchow";"malinagilchrist"
"debamlen";"paulkrugman"
"brooksbarnes";"paulkrugman"
"debamlen";"patrickhealy"
"paulkrugman";"andreakannapell"
"maggiehaberman";"alanrappeport"
"debamlen";"andreakannapell"
"maggiehaberman";"maggiehaberman"
"maggiehaberman";"alanrappeport"
"andrewchow";"debamlen"
"debamlen";"andrewrevkin"
"andrewrevkin";"patrickhealy"
"debamlen";"malinagilchrist"
