"debamlen";"mikeisaac"
"paulkrugman";"michaelde la merced"
"debamlen";"michaelcooper"
"debamlen";"michaelcooper"
"michaelde la merced";"alanrappeport"
"debamlen";"michaelde la merced"
"brooksbarnes";"andrewrevkin"
"debamlen";"andreakannapell"
"debamlen";"andreakannapell"
"michaelde la merced";"michaelde la merced"
"debamlen";"maggiehaberman"
"paulkrugman";"brooksbarnes"
"michaelcooper";"michaelde la merced"
"andrewrevkin";"jeremyegner"
"debamlen";"debamlen"
"michaelde la merced";"patrickhealy"
"debamlen";"malinagilchrist"
"mikeisaac";"maggiehaberman"
"patrickhealy";"maggiehaberman"
"alanrappeport";"alanrappeport"
"debamlen";"patrickhealy"
"paulkrugman";"malinagilchrist"
"debamlen";"jeremyegner"
"debamlen";"andrewchow"
"mikeisaac";"andrewrevkin"
"andrewrevkin";"jeremyegner"
"alanrappeport";"andreakannapell"
"andrewrevkin";"paulkrugman"
"debamlen";"jeremyegner"
"debamlen";"patrickhealy"
"debamlen";"patrickhealy"
"patrickhealy";"malinagilchrist"
"mikeisaac";"malinagilchrist"
"debamlen";"andrewchow"
"andrewrevkin";"michaelcooper"
"michaelde la merced";"debamlen"
"paulkrugman";"patrickhealy"
"debamlen";"maggiehaberman"
"paulkrugman";"michaelde la merced"
"debamlen";"alanrappeport"
"debamlen";"brooksbarnes"
"jeremyegner";"maggiehaberman"
"paulkrugman";"alanrappeport"
"debamlen";"maggiehaberman"
"debamlen";"debamlen"
"paulkrugman";"mikeisaac"
"michaelde la merced";"alanrappeport"
"debamlen";"jeremyegner"
"paulkrugman";"mikeisaac"
"paulkrugman";"patrickhealy"
"michaelde la merced";"paulkrugman"
"alanrappeport";"mikeisaac"
"debamlen";"andrewchow"
"debamlen";"brooksbarnes"
"brooksbarnes";"mikeisaac"
"brooksbarnes";"michaelde la merced"
"michaelde la merced";"andrewrevkin"
"michaelde la merced";"jeremyegner"
"debamlen";"alanrappeport"
"brooksbarnes";"mikeisaac"
"debamlen";"maggiehaberman"
"jeremyegner";"paulkrugman"
"paulkrugman";"jeremyegner"
"malinagilchrist";"debamlen"
"alanrappeport";"alanrappeport"
"andrewrevkin";"patrickhealy"
"patrickhealy";"maggiehaberman"
"michaelcooper";"jeremyegner"
"debamlen";"michaelcooper"
"alanrappeport";"patrickhealy"
"michaelcooper";"mikeisaac"
"michaelde la merced";"michaelde la merced"
"debamlen";"michaelde la merced"
"michaelde la merced";"michaelde la merced"
"debamlen";"michaelcooper"
"michaelde la merced";"andrewchow"
"debamlen";"andrewrevkin"
"debamlen";"jeremyegner"
"paulkrugman";"michaelde la merced"
"malinagilchrist";"andrewrevkin"
"mikeisaac";"michaelde la merced"
"debamlen";"andrewchow"
"debamlen";"mikeisaac"
"michaelde la merced";"patrickhealy"
"debamlen";"debamlen"
"mikeisaac";"andreakannapell"
"jeremyegner";"alanrappeport"
"michaelcooper";"michaelcooper"
"alanrappeport";"debamlen"
"michaelde la merced";"debamlen"
"paulkrugman";"michaelcooper"
"patrickhealy";"michaelde la merced"
"debamlen";"malinagilchrist"
"alanrappeport";"paulkrugman"
"debamlen";"patrickhealy"
"michaelde la merced";"andreakannapell"
"debamlen";"brooksbarnes"
"paulkrugman";"patrickhealy"
"michaelde la merced";"andrewchow"
"debamlen";"malinagilchrist"
"alanrappeport";"debamlen"
"paulkrugman";"andrewchow"
"debamlen";"debamlen"
"paulkrugman";"andrewchow"
"paulkrugman";"patrickhealy"
"paulkrugman";"andrewchow"
"jeremyegner";"michaelde la merced"
"debamlen";"paulkrugman"
"brooksbarnes";"jeremyegner"
"debamlen";"michaelde la merced"
"patrickhealy";"alanrappeport"
